filename,chandler,joey,monica,phoebe,rachel,ross
11_r-Or05EFLUM_215.jpg,0,0,0,0,0,0
11_r-Or05EFLUM_216.jpg,0,0,0,1,0,0
11_r-Or05EFLUM_217.jpg,0,1,1,0,0,0
11_r-Or05EFLUM_218.jpg,0,1,1,0,0,0
11_r-Or05EFLUM_219.jpg,1,0,0,0,0,0
11_r-Or05EFLUM_220.jpg,1,0,1,0,0,0
11_r-Or05EFLUM_221.jpg,0,1,0,1,1,0
11_r-Or05EFLUM_222.jpg,1,1,1,1,1,0
11_r-Or05EFLUM_223.jpg,1,1,1,1,1,0
11_r-Or05EFLUM_224.jpg,1,1,1,1,1,0
11_r-Or05EFLUM_225.jpg,1,1,1,1,1,0
11_r-Or05EFLUM_226.jpg,1,1,1,1,1,0
11_r-Or05EFLUM_227.jpg,1,1,1,1,1,0
11_r-Or05EFLUM_228.jpg,1,1,1,1,1,0
11_r-Or05EFLUM_229.jpg,1,1,1,1,1,0
11_r-Or05EFLUM_230.jpg,1,1,1,1,1,0
11_r-Or05EFLUM_231.jpg,1,1,1,1,1,0
11_r-Or05EFLUM_232.jpg,1,1,1,1,1,0
11_r-Or05EFLUM_233.jpg,1,1,0,1,1,0
11_r-Or05EFLUM_234.jpg,1,1,0,1,1,0
12_xLNJfAYgvkw_0.jpg,1,1,0,0,0,0
12_xLNJfAYgvkw_1.jpg,1,1,0,0,0,0
12_xLNJfAYgvkw_10.jpg,1,1,0,0,0,0
12_xLNJfAYgvkw_100.jpg,0,0,0,1,0,0
12_xLNJfAYgvkw_101.jpg,0,0,0,1,0,0
12_xLNJfAYgvkw_102.jpg,0,1,0,1,0,0
12_xLNJfAYgvkw_103.jpg,0,1,0,1,0,0
12_xLNJfAYgvkw_104.jpg,0,1,0,1,0,0
12_xLNJfAYgvkw_105.jpg,0,1,0,1,0,0
12_xLNJfAYgvkw_106.jpg,0,1,0,1,0,0
12_xLNJfAYgvkw_107.jpg,0,1,0,1,0,0
12_xLNJfAYgvkw_108.jpg,0,1,0,1,0,0
12_xLNJfAYgvkw_109.jpg,0,1,0,0,0,0
12_xLNJfAYgvkw_11.jpg,1,1,0,0,0,0
12_xLNJfAYgvkw_110.jpg,0,0,0,1,0,0
12_xLNJfAYgvkw_111.jpg,0,0,0,1,0,0
12_xLNJfAYgvkw_112.jpg,0,0,0,1,0,0
12_xLNJfAYgvkw_113.jpg,0,1,0,0,0,0
12_xLNJfAYgvkw_114.jpg,0,0,0,1,0,0
12_xLNJfAYgvkw_115.jpg,0,1,0,0,0,0
12_xLNJfAYgvkw_116.jpg,0,1,0,0,0,0
12_xLNJfAYgvkw_117.jpg,0,1,1,1,0,0
12_xLNJfAYgvkw_118.jpg,0,1,0,1,0,0
12_xLNJfAYgvkw_119.jpg,0,1,1,1,0,0
12_xLNJfAYgvkw_12.jpg,1,1,0,0,0,0
12_xLNJfAYgvkw_120.jpg,0,1,1,1,0,0
12_xLNJfAYgvkw_121.jpg,0,1,1,1,0,0
12_xLNJfAYgvkw_122.jpg,0,0,1,1,0,0
